Title,Statement,Link,Tag
Chef and String ,"There are N students standing in a row and numbered 1 through N from left to right. You are given a string S with length N, where for each valid i, the i-th character of S is 'x' if the i-th student is a girl or 'y' if this student is a boy. Students standing next to each other in the row are friends. The students are asked to form pairs for a dance competition. Each pair must consist of a boy and a girl. Two students can only form a pair if they are friends. Each student can only be part of at most one pair. What is the maximum number of pairs that can be formed? Tags: Greedy Algorithms ",https://www.codechef.com/problems/XYSTR,CC
Count Subarrays ,".,ANA1,A2,.,ANA_1, A_2, ., A_N, count the number of subarrays of array A which are non-decreasing. A subarray A[i,j]A[i,j]A[i, j], where 1≤i≤j≤N1≤i≤j≤N1 ≤ i ≤ j ≤ N is a sequence of integers Ai,Ai+1,.,AjAi,Ai+1,.,AjA_i, A_i+1, ., A_j. A subarray A[i,j]A[i,j]A[i, j] is non-decreasing if Ai≤Ai+1≤Ai+2≤.≤AjAi≤Ai+1≤Ai+2≤.≤AjA_i ≤ A_i+1 ≤ A_i+2 ≤ . ≤ A_j. You have to count the total number of such subarrays. Tags: Combinatorics, Dynamic Programming Mathematics, Algorithms ",https://www.codechef.com/problems/SUBINC,CC
Alternating subarray prefix ,"There's an array A consisting of N non-zero integers A1..N. A subarray of A is called alternating if any two adjacent elements in it have different signs (i.e. one of them should be negative and the other should be positive). For each x from 1 to N, compute the length of the longest alternating subarray that starts at x - that is, a subarray Ax..y for the maximum possible y ≥ x. The length of such a subarray is y-x+1. Tags: Conditional Statements, Dynamic Programming, Patterns Basic Programming Concepts, Algorithms, Observation ",https://www.codechef.com/problems/ALTARAY,CC
Chef and Wedding Arrangements ,"There are N guests (numbered 1 through N) coming to Chef's wedding. Each guest is part of a family; for each valid i, the i-th guest is part of family FiFiF_i. You need to help Chef find an optimal seating arrangement. Chef may buy a number of tables, which are large enough for any number of guests, but the people sitting at each table must have consecutive numbers ― for any two guests i and j (i<ji<ji lt j) sitting at the same table, guests i+1,i+2,…,j−1i+1,i+2,…,j−1i+1, i+2, ldots, j-1 must also sit at that table. Chef would have liked to seat all guests at a single table; however, he noticed that two guests i and j are likely to get into an argument if Fi=FjFi=FjF_i = F_j and they are sitting at the same table. Each table costs K rupees. Chef defines the inefficiency of a seating arrangement as the total cost of tables plus the number of guests who are likely to get into an argument with another guest. Tell Chef the minimum possible inefficiency which he can achieve. Tags: aryanag_adm, aryanag_adm, aug20, daniel_19, dynamic-programming, easy-medium, rishup_nitdgp ",https://www.codechef.com/problems/CHEFWED,CC
Chef and Frogs ,"Nobody knows, but N frogs live in Chef's garden. Now they are siting on the X-axis and want to speak to each other. One frog can send a message to another one if the distance between them is less or equal to K. Chef knows all P pairs of frogs, which want to send messages. Help him to define can they or not! Note : More than 1 frog can be on the same point on the X-axis. Tags: Hashmaps, Dynamic Programming, Sorting Data Structures, Algorithms ",https://www.codechef.com/problems/FROGV,CC
Watching CPL ,"Get excited, folks, because it is time for the final match of Codechef Premier League (CPL)! Mike and Tracy also want to watch the grand finale, but unfortunately, they could not get tickets to the match. However, Mike is not someone who gives up so easily — he has a plan to watch the match. The field where the match is played is surrounded by a wall with height K. Outside, there are N boxes (numbered 1 through N). For each valid i, the i-th box has a height HiHiH_i. Mike wants to take some boxes and stack them on top of each other to build two towers. The height of each tower is the sum of heights of all the boxes that form it. Of course, no box may be in both towers. The height of each tower should be at least K. Then Mike can climb on top of one tower and Tracy on top of the other, and they can watch the match uninterrupted! While Mike is busy stacking the boxes, Tracy would like to know the smallest number of boxes required to build two towers such that each of them has height at least K, or at least that it is impossible to build such towers. Can you help Tracy? Tags: Suffix Sum Algorithms, Simple Algos ",https://www.codechef.com/problems/WIPL,CC
N different palindromes ,"A palindrome is a string that reads same in both directions: forwards and backwards. For example, the strings radar and noon are palindromes, whereas the string chef is not a palindrome as being read backwards is becomes equal to fehc, which is not equal to chef. Let's say that the pair of indices (i, j) denotes a palindrome in some string S iff i ≤ j and the substring starting at the i-th character and ending at the j-th character of S is a palindrome. Given an integer N. Your task is to construct a string S such that there are exactly N different pairs (i, j) that denotes a palindrome. Tags: ad-hoc Algorithms, Constructive ",https://www.codechef.com/problems/NDIFFPAL,CC
(CH) Bear and Sorted Rows ,"Limak has a grid that consists of N rows and N columns. He randomly wrote all numbers 1 through N2 in the cells of the grid, one number in each cell. You can assume that each of (N2)! ways was equally likely. Limak asks you to rearrange the numbers in the grid, so that each row will be sorted either increasingly or decreasingly. Scoring Let (r, c) denote the cell at the intersection of the r-th row and the c-th column. If a number x was in (r1, c1) in the initial grid and it is in (r2, c2) in the new grid, the cost of moving x is (r1 - r2)2 + (c1 - c2)2. Your score for one test is the sum of costs of moving all numbers, divided by N3 for clarity. The final score is the sum of scores in all tests. The goal is to minimize that score. There are 20 tests. If your program works incorrectly (e.g. it exceeds the time limit or rows aren't sorted) on any of 20 tests, you will get a suitable verdict (e.g. TLE or WA). Otherwise, you will get AC and your score will be decided by only 20% of tests (first 4 tests). The final score will be revealed after the contest. Tags: challenge, dynamic-programming, errichto, march17, optimization ",https://www.codechef.com/problems/SORTROW,CC
Gravity Guy ,"Chef likes to play games a lot. is one such interesting game. ""is an arcade side-scrolling game in which the player controls by tapping the screen to switch gravity. The objective in this game is to run as far as possible while avoiding being trapped by obstacles, falling, or flying off the screen. If hit by obstacles, the game is over."" Chef is so addicted to this game that each night he dreams of himself being in the game as Gravity Guy. He has two lanes in front of him represented by two strings of equal length named as L1 and L2. Each of the two lanes consists of some clean blocks represented by '.' and some dirty blocks represented by '#'. Chef can start running from the beginning of any of the two lanes and cannot step over any dirty block ( '#' ) encountered during his journey. He has to complete his journey by reaching the end block of any of the two lanes. Chef can use the following jumps to reach his destination. Considering chef is at xth block of some lane. He can jump to x+1th block of the same lane. He can switch gravity quickly and jump to xth block of the other lane. He can switch gravity and jump to x+1th block of the other lane. You have to tell him whether he can reach his destination or not. If it is possible for him to reach his destination, then Chef is interested in knowing the minimum number of gravity switches required to reach the destination. Tags: aug15, dynamic-programming, greedy, ma5termind, simple ",https://www.codechef.com/problems/GRGUY,CC
Decomposition Reaction ,"A thermal decomposition reaction is breakdown of a compound into one or more compounds when heated. For example, P→a⋅Q+b⋅RP→a⋅Q+b⋅RP rightarrow acdot Q + bcdot R is a decomposition reaction. Here, 1 unit of P is converted into a unit of Q and b unit of R after completion of the reaction. You are given N compounds numbered from 1 to N. The initial amount of the ithithi^{th} compound is QiQiQ_i. You are also given M equations. Every equation is of the form: C0→W1⋅C1+W2⋅C2+…+WX⋅CXC0→W1⋅C1+W2⋅C2+…+WX⋅CXC_0 rightarrow W_1cdot C_1 + W_2cdot C_2 + ldots + W_Xcdot C_X. Here: C0C0C_0 represents the compound which will decompose into X compounds on heating. CiCiC_i (1≤i≤X)(1≤i≤X)(1 leq i leq X ) represents the compounds into which C0C0C_0 is decomposed. WiWiW_i (1≤i≤X)(1≤i≤X)(1 leq i leq X ) represents the number of units of CiCiC_i produced due to the decomposition of C0C0C_0. Ci>Ci−1Ci>Ci−1C_i > C_{i-1} for all (1≤i≤X)(1≤i≤X)(1 leq i leq X). Note that a compound can decompose in at most one way only. Find the final amount of each compound after prolonged heating. Since the number can be huge, print the answer modulo 109+7109+710^9+7. Tags: array, dynamic-programming, easy, start29, ultimate_zero ",https://www.codechef.com/problems/DCP,CC
Chef and String ,"Chef likes playing with strings. The most interesting game are named ""CHEF in string"". The move of the game consists of the following: Chef takes a subsequence of string's letters that form the word ""CHEF"" and then he removes that symbols. The goal of the game is to make the maximal number of moves. Please, help Chef and tell him the maximal possible number of moves that he is able to make for the given string S. Tags: Dynamic Programming, ad-hoc, Observation Algorithms, Constructive ",https://www.codechef.com/problems/CHRL2,CC
Sherlock and the Grid ,"Sherlock is stuck. There is a N X N grid in which some cells are empty (denoted by ‘.’), while some cells have rocks in them (denoted by ‘#’). Sherlock is on the South of the grid. He has to watch what is happening on the East of the grid. He can place a mirror at 45 degrees on an empty cell in the grid, so that he'll see what is happening on East side by reflection from the mirror. But, if there's a rock in his line of sight, he won't be able to see what's happening on East side. For example, following image shows all possible cells in which he can place the mirror. You have to tell Sherlock in how many possible cells he can place the mirror and see what's happening on East side. Tags: Bottom-up Algorithms, Dynamic Programming, DP Approach ",https://www.codechef.com/problems/GRID,CC
Count Substrings ,"You are given a string S of length N consisting only of 0s and 1s. You are also given an integer K. You have to answer Q queries. In the ith query, two integers Li and Ri are given. Then you should print the number of substrings of S[L, R] which contain at most K 0s and at most K 1s where S[L, R] denotes the substring from Lth to Rth characters of the string S. In other words, you have to count number of pairs (i, j) of integers such that L ≤ i ≤ j ≤ R such that no character in substring S[i, j] occurs more than K times. Tags: String, Segment Trees, Pre processing, Bottom-up, Binary Search Data Structures, Advanced Data Structures, Advanced Tree Structures, Advanced Algorithms, Algorithms, Dynamic Programming, DP Approach, Searching ",https://www.codechef.com/problems/STRSUB,CC
XOR with Subset ,"You have an array of integers A1, A2, ., AN. The function F(P), where P is a subset of A, is defined as the XOR (represented by the symbol ⊕) of all the integers present in the subset. If P is empty, then F(P)=0. Given an integer K, what is the maximum value of K ⊕ F(P), over all possible subsets P of A? Tags: Tries with XOR, Bit Manipulation, Dynamic Programming Advanced Data Structures, Tries, Mathematics, Algorithms ",https://www.codechef.com/problems/XORSUB,CC
Pizza Delivery ,"Chef Po had recently started home delivery service for pizzas. Po has only a single delivery boy that delivers the orders by riding his motorcycle. The motorcycle has an unlimited capacity of fuel tank. However, it is too old and can only ride 1 km for each 1 liter of fuel. There are N fuel stations near the restaurant. The ithithi^{th} fuel station can fill a fuel tank exactly KiKiK_{i} litres; not more and not less. Filling a fuel tank with any amount of fuel in those stations tends to take a long time. Since the fuel stations are placed near the restaurant, no fuel is needed to go to a fuel station. Today Chef Po received N pizza orders, which is the same number of fuel stations fortuitously. The house of the person that ordered the ithithi^{th} order is HiHiH_{i} km away from the restaurant. The delivery boy cannot deliver more than one order at a time. Therefore, after delivering an order, he must return back to the restaurant to take the next order. The delivery boy is an efficient person and thus he wants to fill the fuel tank with the exact amount of fuel required to deliver an order and return back. He also does not want to spends much time filling the tank, so he wants to minimize the number of times he fills the tank. Help him determine the minimum number of times he must fill the tank to deliver all orders. Tags: Dynamic Programming Algorithms ",https://www.codechef.com/problems/DBOY,CC
Subtree Removal ,"You are given a rooted tree with N nodes (numbered 1 through N); node 1 is the root. Each node has a value; let's denote the value of node i by AiAiA_i. You may perform the following operation any number of times (including zero): choose any node which still exists in the tree and remove the whole subtree of this node including itself. Let's define the profit as the sum of values of all nodes which currently exist in the tree minus X⋅kX⋅kX cdot k, where k denotes the number of times this operation was performed. Find the maximum possible profit. Tags: DFS Algorithms, Graph Algos, Traversals ",https://www.codechef.com/problems/SUBREM,CC
