Title,Statement,Link,Tag
Two Sum,"Two Sum Given an array of integers numsand an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order.",https://leetcode.com/problems/two-sum,LC
Add Two Numbers,"Add Two Numbers You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sumas a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself.",https://leetcode.com/problems/add-two-numbers,LC
Longest Substring Without Repeating Characters,"Longest Substring Without Repeating Characters Given a string s, find the length of the longest substring without repeating characters.",https://leetcode.com/problems/longest-substring-without-repeating-characters,LC
Median of Two Sorted Arrays,"Median of Two Sorted Arrays Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)).",https://leetcode.com/problems/median-of-two-sorted-arrays,LC
Longest Palindromic Substring,"Longest Palindromic Substring Given a string s, return the longest palindromic substring in s.",https://leetcode.com/problems/longest-palindromic-substring,LC
Zigzag Conversion,"Zigzag Conversion The string ""PAYPALISHIRING"" is written in a zigzag pattern on a given number of rows like this: (you may want to display this pattern in a fixed font for better legibility) P A H N A P L S I I G Y I R And then read line by line: ""PAHNAPLSIIGYIR"" Write the code that will take a string and make this conversion given a number of rows: string convert(string s, int numRows);",https://leetcode.com/problems/zigzag-conversion,LC
Reverse Integer,"Reverse Integer Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-231, 231 - 1], then return 0. Assume the environment does not allow you to store 64-bit integers (signed or unsigned).",https://leetcode.com/problems/reverse-integer,LC
String to Integer (atoi),"String to Integer (atoi) Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer (similar to C/C++'s atoi function). The algorithm for myAtoi(string s) is as follows: Read in and ignore any leading whitespace. Check if the next character (if not already at the end of the string) is '-' or '+'. Read this character in if it is either. This determines if the final result is negative or positive respectively. Assume the result is positive if neither is present. Read in next the characters until the next non-digit character or the end of the input is reached. The rest of the string is ignored. Convert these digits into an integer (i.e. ""123"" -> 123, ""0032"" -> 32). If no digits were read, then the integer is 0. Change the sign as necessary (from step 2). If the integer is out of the 32-bit signed integer range [-231, 231 - 1], then clamp the integer so that it remains in the range. Specifically, integers less than -231 should be clamped to -231, and integers greater than 231 - 1 should be clamped to 231 - 1. Return the integer as the final result. Note: Only the space character ' ' is considered a whitespace character. Do not ignore any characters other than the leading whitespace or the rest of the string after the digits.",https://leetcode.com/problems/string-to-integer-atoi,LC
Palindrome Number,"Palindrome Number Given an integer x, return true if x is palindrome integer. An integer is a palindrome when it reads the same backward as forward. For example, 121 is a palindrome while 123 is not.",https://leetcode.com/problems/palindrome-number,LC
Regular Expression Matching,"Regular Expression Matching Given an input string sand a pattern p, implement regular expression matching with support for '.' and '*' where: '.' Matches any single character.​​​​ '*' Matches zero or more of the preceding element. The matching should cover the entire input string (not partial).",https://leetcode.com/problems/regular-expression-matching,LC
